,Ti_responses
198,"The sign says ""Churchill is fired."""
199,"Answer the following question given the text:
Text:  The city is the principal city in the Meridian , Mississippi Designated Market Area ( DMA ) , which includes 72 @,@ 180 households with televisions .   @-@ TV broadcasts as an ABC affiliate from the city , headquartered at 815 23rd Avenue .   operates two digital subchannels ,   @-@ DT2 , a MyNetworkTV affiliate , and   @-@   , Meridian 's CW .   @-@ TV , the market 's NBC affiliate , is headquartered at 1151 Crestview Circle . Since January 5 , 2009 ,   has also been the market 's FOX affiliate , and it also features some programming from the Retro Television Network (   ) .   operates under a program services agreement with   @-@ TV , the market 's CBS affiliate which operates a local   service on its second subchannel .   @-@ TV is the local affiliate of Mississippi Public Broadcasting . 

Question: How many trains in the photo?

Respond only with the final answer, without explanation or full sentences.

0"
200,0
201,"Answer the following question given the text:
Text:  Acts Of Rebellion : The Ward Churchill Reader . Routledge . 2002 . ISBN 978 @-@ 0 @-@ 415 @-@   @-@ 4 . 

Question: What color are the girl's pants?

Respond only with the final answer, without explanation or full sentences.

Black"
202,They are not sailing.
203,"Answer the following question given the text:
Text:  The relationship between war and Australian society has been shaped by two of the more enduring themes of Australian strategic culture :   with a powerful ally and expeditionary warfare . Indeed , Australian defence policy was closely linked to Britain until the Japanese crisis of 1942 , while since then an alliance with the United States has underwritten its security . Arguably , this pattern of   — both for cultural reasons such as shared values and beliefs , as well as for more pragmatic security concerns — has ensured that Australian strategic policy has often been defined by relations with its allies . Regardless , a tendency towards strategic complacency has also been evident , with Australians often reluctant to think about defence issues or to allocate resources until a crisis arises ; a trait which has historically resulted in unpreparedness for major military challenges . 

Question: Who wants to play?

Respond only with the final answer, without explanation or full sentences.

Australians"
204,"Answer the following question given the text:
Text:  Ireland : T Edwards , DC Woods , A Walpole , MJ Bulger , J Stevenson , RG Warren   . , HW Andrews , EG Forrest ,   O 'Conor , JG Moffatt , JN Lytle , J   , R Stevenson , JC Jameson , FO Stoker 

Question: Does that spoon appear tarnished?

Respond only with the final answer, without explanation or full sentences.

No"
205,No
206,From road
207,No
208,No
209,No
210,"Answer the following question given the text:
Text:  Richmond joined Hendrick Motorsports in 1986 , where he teamed up with veteran crew chief Harry Hyde . It took the team until the middle of the season to gel . Richmond had suffered a 64 @-@ race winless streak that was finally broken at the Van   Diamond Mine 500 at Pocono in June 1986 . After two straight second @-@ place finishes at Charlotte and Riverside , Richmond started the Pocono event in third place inside the second row . That race saw a caution for rain with five laps left before the halfway point . NASCAR wanted the cars to get to the halfway point to make the race official , so the sanctioning body had the drivers slowly circle the track . It took the drivers 26 minutes to complete the laps , and the rain was so heavy that some drivers had to look out their side windows because they could not see out their windshields . Two hours later , the track had dried and the race resumed with Richmond in third . After Richmond 's car was adjusted to remove the "" push "" , the car was more to his liking . Because his radio did not work , he was unable to communicate with his crew chief , Hyde , and he made his final pit stop with 37 laps left . Hyde worried that Richmond had stopped a lap too early to ensure that he would have enough fuel to make it to the end . After Richmond took the lead with 30 laps left in the race , Dale Earnhardt made up three seconds on Richmond 's five @-@ second lead . With four laps to go , Buddy Arrington spun in a three @-@ car accident . The remaining laps of the race where completed slowly under caution and Richmond took the checkered flag for the victory . He had led 97 laps , including the final 30 , taking his first victory in a Rick Hendrick car . 

Question: What is happening to the brown truck?

Respond only with the final answer, without explanation or full sentences.

No brown truck in the text."
211,0
212,"Answer the following question given the text:
Text:  Capel   has national recognition and statutory protection from alteration as it has been designated as a Grade II listed building – the lowest of the three grades of listing , designating "" buildings of special interest , which warrant every effort being made to preserve them "" . It was given this status on 2 September 1952 and has been listed because it is "" important as a substantially 12th @-@ century structure , with some architectural details surviving from this early period "" , even though it is now in a "" ruinous condition "" . Cadw ( which is responsible for the inclusion of Welsh buildings on the statutory lists ) also notes the "" unusual 16th @-@ century vaulted south chapel "" . 

Question: How many birds?

Respond only with the final answer, without explanation or full sentences.

0"
213,"Answer the following question given the text:
Text:  Apple Records issued the single on 17 March 1972 in Britain , as Apple R   , with a US release taking place three days later , as Apple 1849 . It was Starr 's first release since "" It Don 't Come Easy "" , a year before . During this period , his priority had been to develop a career as an actor in films such as 200 Motels ( 1971 ) and Blindman . Further aligning himself with Britain 's glam rock movement , Starr made his directorial debut with Born to Boogie ( 1972 ) , a film starring Bolan that included Starr 's footage of a T. Rex concert held at Wembley on 18 March . With "" Back Off Boogaloo "" , NME critic Bob Woffinden noted Starr 's success in establishing himself in the two years since the Beatles ' break @-@ up , and wrote that the single "" confirmed that he and Harrison , dark horses both , were the ones who had managed their solo careers more purposefully and intelligently "" compared with McCartney and Lennon . 

Question: Are these trains going the same direction?

Respond only with the final answer, without explanation or full sentences.

No"
214,No animal is standing in anything in the text.
215,White
216,No shirt
217,"Answer the following question given the text:
Text:  Michael   as Vladimir Popov , Gustav Graves ' personal scientist 

Question: What toppings are on this food?

Respond only with the final answer, without explanation or full sentences.

Michael"
218,No
219,No cat
220,No clock in the image.
221,U.S. Highway 11
222,"Answer the following question given the text:
Text:  The defeat at   broke the back of Burmese defenses . The Burmese army lost several thousand men as well as senior commanders .   , the next fort inline , fell just six days later on 9 December 1283 . The Mongol sources say that the Burmese lost 10 @,@ 000 men at   . The Mongol armies pushed farther south into the Irrawaddy valley . They took the ancient Burmese capital of   , about 380 km north of Pagan on 5 February 1284 . There , the invaders paused their advance . They found the heat of the searing Irrawaddy valley excessive , and evacuated   , allowing the Burmese to return to   on 10 May 1284 . But the Mongol army renewed their offensive in the following dry season . They retook   , and defeated another Burmese stand south of   , probably near Hanlin , on 26 January 1285 , opening the way to Pagan , about 270 km south . After the defeat , the king panicked , and fled to Lower Burma . The evacuation proved premature . The Mongol forces did not advance on Pagan as it was not part of their invasion plan . 

Question: Is the banana under ripe or overripe?

Respond only with the final answer, without explanation or full sentences.

No banana"
223,No helmet in the image.
224,Radcliffe
225,No
226,"Answer the following question given the text:
Text:  The Ming dynasty had seen considerable advancement in the process of colour printing in China . At his studio , Hu   experimented with various forms of woodblock printing , creating processes for producing multi @-@ coloured prints and embossed printed designs . As a result , he was able to produce some of China 's first printed publications in colour , using a block printing technique known as "" assorted block printing "" (     ,   ) . This system made use of multiple blocks , each carved with a different part of the final image and each bearing a different colour . It was a lengthy , painstaking process , requiring thirty to fifty engraved printing blocks and up to seventy   and impressions to create a single image . Hu also employed a related form of multiple @-@ block printing called "" set @-@ block printing "" (     ,   ) , which had existed since the Yuan period some 200 years earlier but had only recently come into fashion again . He refined these block printing techniques by developing a process for wiping some of the ink off the blocks before printing ; this enabled him to achieve gradation and modulation of shades which were not previously possible . 

Question: What color is the traffic light?

Respond only with the final answer, without explanation or full sentences.

No traffic light in the image."
227,Ethnic Studies Department
228,"Answer the following question given the text:
Text:  In October 1927 , HMAS Adelaide was called to the British Solomon Islands Protectorate as part of a punitive expedition in response to the killing of a district officer and sixteen others by   natives at   on the island of Malaita on 3 October , known as the Malaita massacre . Arriving at Tulagi on 14 October , the ship proceeded to Malaita to protect the landing of three platoons of troops , then remained in the area to provide personnel support for the soldiers as they searched for the killers . The ship 's personnel took no part in operations ashore , providing only logistic and communications support . Adelaide returned to Australia on 23 November . 

Question: Is the building with the clock taller than the building behind it?

Respond only with the final answer, without explanation or full sentences.

No"
229,"Answer the following question given the text:
Text:  Meanwhile , in 1274 , the former Dali Kingdom was officially reorganized as the Province of Yunnan , with Sayyid   Shams al @-@ Din Omar as governor . In May 1275 , the governor sent a report to the emperor stating that the embassy had not returned ; that the Burmese evidently had no intention of submitting ; and that war was the only way forward . 

Question: What color is the photo?

Respond only with the final answer, without explanation or full sentences.

No photo"
230,No two pieces of silverware sits on the table.
231,No
232,No
233,No
234,0
235,No coat
236,"Answer the following question given the text:
Text:  The millstones were removed from the stone floor , which was then repaired . One of the main beams was found to have been attacked by Death Watch beetles , and over a third of the elm beam was replaced with oak . The six supports for the   frame were repaired one at a time , as they bore the whole of the weight of the machinery above . One post required replacement . It had rotted and the floor had sunk by 4 inches ( 100 mm ) causing the second main floor beam to fracture . When this work had been completed , the stone floor was removed , including the second main floor beam , which was removed in one piece so that the most suitable route to install its replacement could be assessed . 

Question: What is the man on the right wearing?

Respond only with the final answer, without explanation or full sentences.

No man on the right"
237,@-@
238,@-@
239,0
240,"Answer the following question given the text:
Text:  Silicon @-@ directed     can exhibit induced diastereoselectivity in this way . In the example below , the silyl @-@ group acts to direct the   by preventing the distant alkene from rotating "" towards "" it via unfavorable steric interaction . In this way the silicon acts as a   auxiliary . ( The starting material is not   but the retention of enantiomeric excess suggests that the auxiliary directs the   . ) 

Question: Are those trees at the back?

Respond only with the final answer, without explanation or full sentences.

No"
241,0
242,No
243,Yes
244,No
245,"Answer the following question given the text:
Text:  The shortcomings noted above limit the usefulness of the     reaction in its canonical form . However , modifications to the reaction focused on remedying its issues continue to be an active area of academic research . In particular , the research has focused on a few key areas : rendering the reaction catalytic in the promoter , effecting the reaction with more mild promoters to improve functional group tolerance , directing the   of the elimination step , and improving the overall   . These have been successful to varying degrees . 

Question: What color is the flag?

Respond only with the final answer, without explanation or full sentences.

No flag"
246,Beef
247,No
248,"Answer the following question given the text:
Text:  Because ZAPU and ZIPRA were based in Zambia , many Rhodesians clamoured for a massive retaliatory strike against terrorist targets in that country , but the first external target hit by the security forces following the Viscount shootdown was the prominent cluster of ZANLA bases around   in Mozambique . The Rhodesian military had struck these bases extensively in November 1977 during Operation Dingo , destroying much of the ZANLA presence there , but the insurgents had since built a complex called "" New   "" , slightly to the east ; the new camps were distributed across a far larger area than the originals . In a combined airborne @-@ ground assault called Operation Snoopy , the Rhodesian Air Force , Rhodesian Light Infantry and Special Air Service wiped out much of New   on 20 September 1978 . Mozambique sent armour to ZANLA 's aid in the form of nine Soviet @-@ made T @-@ 54 tanks and four Russian BTR @-@ 152 armoured personnel carriers , but the former were routed and one of the latter destroyed by the Rhodesian security forces . According to Rhodesian figures , there were "" several hundred "" guerrillas killed , while the security forces lost only two soldiers , one of whom was accidentally killed by a friendly air strike . 

Question: What color are the walls?

Respond only with the final answer, without explanation or full sentences.

No walls in the image."
249,Answer: 1
250,No
251,No
252,"Answer the following question given the text:
Text:  US Off The Planet ! : An Evening In Eugene With Ward Churchill And   Glendinning , VHS video recorded July 17 , 2001 ( Cascadia Media Collective , 2002 ) 

Question: What is the dough made of?

Respond only with the final answer, without explanation or full sentences.

Flour"
253,"Answer the following question given the text:
Text:  Donald Sutherland portrays Jack   , Bobby 's father and Kurt 's boss . On July 27 , 2010 , Isaiah Mustafa was confirmed as joining the cast . Mustafa was quoted as saying "" It 's a smaller role "" . He appears as Officer Wilkens . Julie Bowen appears in the film as Rhonda ,   's wife . Bowen stated that her character "" may or may not be a   "" , the character described as intentionally making her husband jealous . Ioan Gruffudd has a cameo as a male prostitute erroneously hired as a hitman . Lindsay Sloane appears as Dale 's fiancee Stacy . P. J. Byrne plays Kenny Sommerfeld , a former investment manager , now scrounging for drinks , while Wendell Pierce and Ron White play a pair of cops . Bob Newhart makes a cameo as sadistic   CEO Louis Sherman . John Francis Daley , a screenwriter on the film , cameos as Nick 's co @-@ worker Carter . 

Question: What activity are they doing together?

Respond only with the final answer, without explanation or full sentences.

Acting"
254,"Answer the following question given the text:
Text:  While there have been calls for Scientology to be banned , the Church of Scientology remains legal in Germany and is allowed to operate there . Its precise legal status however is unresolved . Two points are contested : first , whether or not the teachings of Scientology qualify as a "" religion or worldview "" ( Religion or   ; these are equal before German law ) , and secondly , whether or not these teachings are only used as a pretext for purely commercial activity ; if the latter were the case , this would most likely imply that Scientology would not qualify for protection as a "" religious or worldview community "" (   oder   ) under Article 4 of the German constitution , which guarantees the freedom of belief , religion and worldview . Status as a "" religious or worldview community "" also affects a broad range of other issues in Germany , such as taxation and freedom of association . 

Question: Is this a professional skater?

Respond only with the final answer, without explanation or full sentences.

No"
255,No
256,No animal
257,"Answer the following question given the text:
Text:  Under the command of Brigadier Heathcote Hammer the 15th Brigade consisted of three infantry battalions as well as two troops of tanks from the 2 / 4th Armoured Regiment , engineers from the 15th Field Company , a battery of 155 @-@ mm guns from ' U ' Heavy Battery , field artillery from the 2nd Field Regiment , and a number of smaller support units . The 58th / 59th Infantry Battalion took over responsibility for Slater 's Knoll replacing the 25th Infantry Battalion while the 24th Infantry Battalion took up a position across the Buin Road . The brigade 's third battalion — the 57th / 60th Infantry Battalion — did not join them until the beginning of May , and so the 7th Brigade 's 9th Infantry Battalion continued patrolling operations north of the   River , in the   area , until the 57th / 60th could dispatch elements to relieve them . Further inland , the 2 / 8th Commando Squadron advanced in a wide arc to the south @-@ east , defending the brigade 's left , or eastern , flank . 

Question: Is the woman happy?

Respond only with the final answer, without explanation or full sentences.

No"
258,No flower in the bowl.
259,Cool
260,"Answer the following question given the text:
Text:  In November 2008 , the government abandoned its attempts to ban Scientology , after finding insufficient evidence of illegal or unconstitutional activity . The report by the   cited knowledge gaps and noted several points that would make the success of any legal undertaking to ban Scientology doubtful . First , the   report stated there was no evidence that Scientology could be viewed as a foreign organization ; there were German churches and missions , a German board , German bylaws , and no evidence that the organization was "" totally remote @-@ controlled "" from the United States . A foreign organization would have been much easier to ban than a German one . The second argument on which those proposing the ban had counted was Scientology 's aggressive opposition to the constitution . Here , the report found that Scientology 's behaviour gave no grounds to assume that Scientology aggressively sought to attack and overthrow Germany 's free and democratic basic order . "" Neither its bylaws nor any other utterances "" supported the "" conclusion that the organization had criminal aims "" . The   also considered whether there were grounds to act against the Church of Scientology on the basis that they were practising medicine without a licence , but expressed doubts that a court would accept this reasoning . 

Question: Is the cow exhausted?

Respond only with the final answer, without explanation or full sentences.

No"
261,"Answer the following question given the text:
Text:  A long @-@ running rivalry between Tikal and Calakmul began in the 6th century , with each of the two cities forming its own network of mutually hostile alliances arrayed against each other in what has been likened to a long @-@ running war between two Maya superpowers . The kings of these two capitals adopted the title   ' , a term that has not been precisely translated but that implies something akin to "" high king "" . 

Question: What event is this?

Respond only with the final answer, without explanation or full sentences.

Long @-@ running rivalry between Tikal and Calakmul began in the 6th century."
262,The High Five Interchange
263,"Answer the following question given the text:
Text:  On the death of Alphonso Vincent in 1932 , his son George inherited the property . He lived at the site in an old lorry until his death in 1973 . The mill passed to his daughter , who sold it in 1974 to Mr and Mrs Humphries , who intended to convert it into a house . They later changed their minds and offered it for sale for restoration . In 1976 , the cap of the mill was blown to pieces in a gale .   windmill was purchased by five members of the Suffolk Mills Group in November 1979 , and plans for restoration were made . The consortium consisted of Mark Barnard , Charles Dolman , Peter Dolman , David Pearce and Chris   . The derelict mill and an acre of land cost £ 6 @,@ 000 . 

Question: What does the bus say on the side?

Respond only with the final answer, without explanation or full sentences.

No bus"
264,"Answer the following question given the text:
Text:  With the exception of Western Australia , the colonies also operated their own navies . In 1856 , Victoria received its own naval vessel ,   Victoria , and its deployment to New Zealand in 1860 during the First Taranaki War marked the first occasion that an Australian warship had been deployed overseas . The colonial navies were expanded greatly in the mid @-@ 1880s and consisted of a number of gunboats and torpedo @-@ boats for the defence of harbours and rivers , as well as naval brigades to man vessels and forts . Victoria became the most powerful of all the colonial navies , with the ironclad HMVS Cerberus in service from 1870 , as well as the steam @-@ sail warship HMS Nelson on loan from the Royal Navy , three small gunboats and five torpedo @-@ boats . New South Wales formed a Naval Brigade in 1863 and by the start of the 20th century had two small torpedo @-@ boats and a corvette . The Queensland Maritime Defence Force was established in 1885 , while South Australia operated a single ship , HMCS Protector . Tasmania had also a small Torpedo Corps , while Western Australia 's only naval defences included the Fremantle Naval Artillery . Naval personnel from New South Wales and Victoria took part in the suppression of the Boxer Rebellion in China in 1900 , while HMCS Protector was sent by South Australia but saw no action . The separate colonies maintained control over their military and naval forces until Federation in 1901 , when they were amalgamated and placed under the control of the new Commonwealth of Australia . 

Question: How is the sandwich cut in half?

Respond only with the final answer, without explanation or full sentences.

In half"
265,Fort Scott National Historic Site
266,FBI agents
267,No
268,"Answer the following question given the text:
Text:  Her performance in Fargo in 1923 resulted in a headline in the Fargo Forum the next day that was headed Eva Gauthier ’ s Program Sets Whole Town   : Many People Are of Two Minds Regarding Jazz Numbers – Some Reluctantly Admit That They Like Them – Others Keep Silent or   Them . The review divides the audience and critics into various camps : those who openly enjoyed and applauded the performance ; those who openly disliked and condemned it ; those unsure how to react to a performance they liked but felt was inappropriate ; and those who liked the performance but would not show approval for fear of looking foolish or uncultured . 

Question: What is the most popular surfboard color?

Respond only with the final answer, without explanation or full sentences.

White"
269,No
270,The pay toll is 0.
271,"Answer the following question given the text:
Text:  Churchill has been active since at least 1984 as the co @-@ director of the Denver @-@ based American Indian Movement of Colorado , now an autonomous chapter of the American Indian Movement . In 1993 , he and other local AIM leaders , including Russell Means , Glenn T. Morris , Robert   , and David Hill , broke with the national AIM leadership , including Dennis Banks and the brothers Vernon and Clyde Bellecourt , claiming that all AIM chapters are autonomous . The AIM Grand Governing Council is based in Minneapolis and retains the name of the national group . It says that the schism arose when Means , Churchill , Glenn T. Morris and others openly supported the Miskito Indian group   , who were allied with the anti @-@ revolutionary , CIA @-@ backed Contras . 

Question: Is the sun rising?

Respond only with the final answer, without explanation or full sentences.

No"
272,No animals are present in the text.
273,"Answer the following question given the text:
Text:  There are good examples of horizontal water mills , also known as Norse or Clack Mills , around Dutch Loch . Originally these were two story buildings with turf roofs , built into banks to give access to the upper floor where the mill @-@ stone was sited . Inside the building there was a fixed lower millstone , and a rotating upper millstone driven by the water falling onto the paddles below . Some were still in use on Papa Stour in the early years of the 20th century , and there is still a working example of one of these mills on the Burn of   , at   in the south Mainland of Shetland . 

Question: How many sheep are there?

Respond only with the final answer, without explanation or full sentences.

0"
274,Human
275,Girl is not in the text.
276,No woman
277,No
278,"Answer the following question given the text:
Text:  Although Richmond attempted a comeback in 1988 , NASCAR suspended him for testing positive for banned substances . The substances were identified as   , a non @-@ prescription over @-@ the @-@ counter allergy medication , and Advil , an over @-@ the @-@ counter pain reliever . In April 1988 , Richmond sued NASCAR over the suspension . Although he retested later that year and was reinstated , he could not find a car to drive . In his final public appearance in February 1988 , Richmond denied that he abused drugs and said that a mistake had been made in his drug test . His suit with NASCAR was settled out @-@ of @-@ court , the terms sealed . 

Question: Was this photo taken near water?

Respond only with the final answer, without explanation or full sentences.

No"
279,Beard
280,"Answer the following question given the text:
Text:  The $ 261 million project was started in 2002 and completed in December 2005 . It was designed by the HNTB Corporation and built by   Construction Corporation . 

Question: What is covering the ground?

Respond only with the final answer, without explanation or full sentences.

Concrete"
281,Answer: None
282,0
283,"Answer the following question given the text:
Text:  Business U.S. Highway 2 ( Bus . US 2 ) is a 1 @.@ 270 @-@ mile ( 2 @.@ 044 km ) business route that runs from the Wisconsin state line at the Montreal River . The route extends through downtown Ironwood on Silver and Aurora streets before turning northward along Suffolk Street . Bus . US 2 stays on Suffolk Street for a short while until it turns onto Frederick Street . On Frederick Street , Bus . US 2 bears north through a residential area along Douglas Street . The eastern terminus of the route is at its junction with US 2 at the corner of   Drive and Douglas Street north of downtown . 

Question: Is this a lesson?

Respond only with the final answer, without explanation or full sentences.

No"
284,No
285,No vase in the image.
286,No one is holding anything in the image.
287,"Answer the following question given the text:
Text:  Indians Are Us ? : Culture and Genocide in Native North America . Common Courage Press . 1994 . ISBN 978 @-@ 1 @-@   @-@ 021 @-@ 8 . 

Question: What is the danger to a person climbing this fence?

Respond only with the final answer, without explanation or full sentences.

Falling"
288,No white plates in the image.
289,"Answer the following question given the text:
Text:  "" Sorry "" was one of the first tracks developed for Confessions on a Dance Floor , along with "" Hung Up "" and "" Future Lovers "" . It was also the one which took the most time to finish because Madonna "" thought it was too melodramatic and could never decide when it was right . "" The songs were developed with a remixed perspective in mind . Madonna commented that , "" Whenever I make records , I often like the remixes better than the original ones . [ ... ] So I thought , screw that . I 'm going to start from that perspective "" . She promoted the album at the dance party ""   "" held at Luke & Leroy 's nightclub in Greenwich Village , invited by Junior Sanchez to take over the DJ booth where she mixed "" Hung Up "" with "" Sorry "" . Musically , "" Sorry "" is an uptempo dance song containing layers of beats and strong vocal on the chorus . It is set in common time with a moderately fast dance groove tempo of 132 beats per minute . Composed in the key of C minor , Madonna 's vocal range spans from F3 to G4 . It follows the chord progression of E ♭ – Cm – A ♭ – B ♭ during the spoken introduction . It then changes to Fm – Gm @-@ Cm in the chorus , while continuing in A ♭ – Cm – A ♭ – Fm in the intermediate verses , ultimately ending in repeated lines of "" I 've heard it all before "" . 

Question: Is the decor modern?

Respond only with the final answer, without explanation or full sentences.

Yes"
290,"Answer the following question given the text:
Text:  NME lauded the song as the opening track by saying the album "" starts by spitting furiously "" . The publication praised Bono 's impassioned singing and The Edge 's guitar playing , which transformed the instrument into "" something more than an endlessly abused piece of wood "" . The review commented that the "" last ten seconds are breathtakingly beautiful "" . The Rocket wrote that the song builds a "" wall of sound "" that Bono 's vocals cut through with a "" wail of desperation , as the lyrics agonize the need for personal spirituality "" . The reviewer compared the opening riff to Simple Minds ' ""   "" . Reviewing The Joshua Tree , Stephen Thomas Erlewine of Allmusic called the song an "" epic opener "" . The service 's Steve Huey , in a review of the song , praised its "" insistent , propulsive rhythmic drive and anthemic chorus "" , qualities he singled out for making it a fan favorite . He called the song the "" perfect album @-@ opener "" , crediting the "" slow build of its arrangement toward a climactic peak "" . Huey also called Bono 's delivery "" passionate and grandiose "" and "" his commitment to the material unshakable "" . He believed the combination of his vocals and the band 's "" sonic power "" is what gave U2 its "" tremendous force "" . 

Question: What is the person on the left doing with their hand?

Respond only with the final answer, without explanation or full sentences.

Pointing"
291,No clock in the image.
292,"Answer the following question given the text:
Text:  In 2003 , MDOT replaced the Sturgeon River Bridge in   Township , Dickinson County . As of October 2011 , even though the old bridge was demolished and replaced , MDOT retained it on their historic bridge list . It was built in 1929 . 

Question: Is the woman serving for an odd point or an even point?

Respond only with the final answer, without explanation or full sentences.

Even"
293,"Answer the following question given the text:
Text:  The Japanese hit Edson 's left flank just after the   took position but were again stopped by Marine rifle , machine @-@ gun , mortar , and grenade fire . Marine 105 mm and 75 mm artillery was also taking a heavy toll on the attacking Japanese . A captured Japanese soldier later said that his unit was "" annihilated "" by the Marine artillery fire , which only 10 % of his company survived . 

Question: Which hand holds the racket?

Respond only with the final answer, without explanation or full sentences.

No hand holds the racket."
294,No horse
295,"Answer the following question given the text:
Text:  Australian forces were at times involved in heavy fighting , and significant actions included Operation Anaconda in 2002 and Operation Perth in 2006 , as well as actions in Chora in 2007 ,   in 2009 , the Shah Wali Kot and Derapet in 2010 , and Doan in 2011 ; although others have yet to be publicly acknowledged due to operational security requirements . Casualties include 41 killed and 256 wounded , while another Australian also died serving with the British Army . Four Australians have been awarded the Victoria Cross for Australia , the first such decorations in forty years . Following a drawdown in forces , the last combat troops were withdrawn on 15 December 2013 ; however , approximately 400 personnel remain in Afghanistan as trainers and advisers , and are stationed in Kandahar and Kabul . Over 26 @,@ 000 Australian personnel have served in Afghanistan . 

Question: What is sitting on the hood of the car?

Respond only with the final answer, without explanation or full sentences.

No car"
296,No shirt color is provided in the text.
297,The elephant has tusks to help it dig for water and food.
298,No
299,Cold
300,No
301,"Answer the following question given the text:
Text:  Temple I ( also known as the Temple of Ah Cacao or Temple of the Great Jaguar ) is a funerary pyramid dedicated to Jasaw Chan K   , who was entombed in the structure in AD 734 , the pyramid was completed around 740 – 750 . The temple rises 47 metres ( 154 ft ) high . The massive   that topped the temple was originally decorated with a giant sculpture of the enthroned king , although little of this decoration survives . The tomb of the king was discovered by Aubrey   of the University of Pennsylvania in 1962 . Among items recovered from the Late Classic tomb were a large collection of inscribed human and animal bone tubes and strips with sophisticated scenes depicting deities and people , finely carved and rubbed with vermilion , as well as jade and shell ornaments and ceramic vessels filled with offerings of food and drink . The shrine at the summit of the pyramid has three chambers , each behind the next , with the doorways spanned by wooden lintels fashioned from multiple beams . The outermost lintel is plain but the two inner lintels were carved , some of the beams were removed in the 19th century and their location is unknown , while others were taken to museums in Europe . 

Question: What color of plants are in the window?

Respond only with the final answer, without explanation or full sentences.

No plants in the window."
302,"Answer the following question given the text:
Text:    da boat da tide @-@ lumps   , 

Question: What does the sign say?

Respond only with the final answer, without explanation or full sentences.

""da boat da tide @-@ lumps"""
303,Black
304,0
305,No
306,"Answer the following question given the text:
Text:  US 2 / US 141 re @-@ enters Michigan where it crosses the Menominee River and subsequently meets M ‑ 95 in   Township north of Iron Mountain and Kingsford . The highways merge in a triple concurrency and run south on Stephenson Avenue into Iron Mountain along the west side of Lake Antoine , parallel to a branch line of the Escanaba and Lake Superior Railroad ( ELS Railroad ) . The road crosses through a retail corridor and over a flooded pit of the Chapin Mine . In downtown Iron Mountain at Ludington Street , M ‑ 95 turns west off Stephenson Avenue to run across town to Kingsford . US 2 / US 141 exits downtown and turns east along a second retail corridor near the Midtown Mall . The highway re @-@ enters   Township where US 141 separates to the south to re @-@ enter Wisconsin . US 2 continues eastward parallel to a branch of the Canadian National Railway ( CN Railway ) . Both road and rail travel through the community of Quinnesec , where they pass near the largest paper mill in the UP . The trunkline runs along the main street of Norway , where the highway meets the eastern terminus of US 8 . Then US 2 continues east through rural Dickinson County to Vulcan , passing north of Hanbury Lake through the Copper Country State Forest , before crossing the Sturgeon River in Loretto and passing into Menominee County . 

Question: Is this a happy room?

Respond only with the final answer, without explanation or full sentences.

No"
307,"Answer the following question given the text:
Text:  The most likely cause of collapse at Tikal is overpopulation and agrarian failure . The fall of Tikal was a blow to the heart of Classic Maya civilization , the city having been at the forefront of courtly life , art and architecture for over a thousand years , with an ancient ruling dynasty . However , new research regarding   proxies from the Tikal reservoir system suggests that a meteorological drought may have led to the abandonment of Tikal . 

Question: Has the man been drinking?

Respond only with the final answer, without explanation or full sentences.

No"
308,"Answer the following question given the text:
Text:  Towers scored the first Welsh try , which was converted by Jim Webb . The Natives replied with a spirited run by Ellison , but he failed to break through the Welsh defence . The tourists trailed even further after George Thomas scored a breakaway try   the half @-@ way line , which went some way to silence the heckles from the crowd . Webb , playing in out of position at full @-@ back , missed the conversion and then failed at a long distance goal from a mark . The Natives continued to push , with Elliot coming within five @-@ yards of the try line , and when Ellison did manage to cross the line he was carried back into the 25 @-@ yard line before he could touch down . In the second half Wales continued to push their advantage when Alexander Bland dribbled the ball into the Natives ' 25 ; this was collected by Sydney Nicholls , who managed to get the ball across the try line , allowing Jim Hannan to score . Warbrick for the Natives and   for Wales both subsequently came close to scoring tries , but there were no further scores in the game . 

Question: What is the black object?

Respond only with the final answer, without explanation or full sentences.

Mark"
309,Horses
310,People in the background of the picture are spying on Scientology.
311,"Answer the following question given the text:
Text:  In Saarland , surveillance was stopped by a court as inappropriate in 2005 , because there is no local branch of Scientology and few members . As of 6 May 2008 , the Church of Scientology in Germany dropped the legal battle to prevent surveillance of its activities by the   after the North Rhine @-@ Westphalia Higher Administrative Court in Münster refused to hear an appeal on the matter . Being suspected of maintaining "" ambitions against the free , democratic basic order "" , the Scientology organization added a declaration on human rights and democracy to its bylaws . 

Question: Can you see any snowboards?

Respond only with the final answer, without explanation or full sentences.

No"
312,No wall
313,"Answer the following question given the text:
Text:  The four sails were made . The originals being slightly different pairs . Those on the inner stock having bays of 3 feet ( 910 mm ) pitch and those on the outer stock having bays of 3 feet 2 inches ( 970 mm ) pitch . It was decided that the new sails would be identical , at the larger pitch . Four 27 feet ( 8 @.@ 23 m ) long whips were cut from a baulk of pitch pine obtained from a demolished maltings at Bury St Edmunds . The whips are 6 inches ( 150 mm ) square at their inner end . Sail bars and   were made from modern pitch pine , selected for quality . The   for the sail bars were cut . That at the heel of the sail being at 27 ° and that at the tip being 15 ° , decreasing by 1 ½ ° at each sail bar . Three of the four sails had been completed at the end of the work in . 

Question: What color is the dog?

Respond only with the final answer, without explanation or full sentences.

No dog"
314,No
